Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38011;Station Luther King;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;5.0;5.3504966887417025;µg-m3;98.0;99.0;96.0;R;1;-21.334406;55.45906
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38017;Grand Coude;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;3.0;2.785242480049128;µg-m3;94.0;99.0;93.0;R;1;-21.29433;55.62793
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO REUNION;FR04ZAR01;ZAR SAINT-DENIS;FR38020;Plateau Caillou;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;4.0;3.750055032407943;µg-m3;93.0;100.0;93.0;R;1;-21.022112;55.266773
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO REUNION;FR04ZAR01;ZAR SAINT-DENIS;FR38022;Chaussée Royale;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;5.0;4.59986985328916;µg-m3;96.0;100.0;96.0;R;1;-20.998577;55.28062
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38023;BD BANKS;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;1.0;1.2404765056254166;µg-m3;94.0;92.0;86.0;R;1;-21.331703;55.478949
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO REUNION;FR04ZRE01;ZR LA REUNION;FR38024;RDT SAINT-LEU;Rurale près des villes;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;6.0;5.635321100917427;µg-m3;5.0;98.0;5.0;N;-1;-21.213212;55.302844
2024/01/01 00:00:00;2024/12/31 23:59:59;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39008;Ville de Schoelcher;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;9.662043535149312;µg-m3;96.0;100.0;96.0;R;1;14.616389;-61.100792
2024/01/01 00:00:00;2024/12/31 23:59:59;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39009;Lamentin;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.422512777843803;µg-m3;96.0;100.0;96.0;R;1;14.610653;-61.002586
2024/01/01 00:00:00;2024/12/31 23:59:59;MADININAIR;FR02ZRE01;ZR MARTINIQUE;FR39014;Sainte_Luce;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.52103068905617;µg-m3;99.0;100.0;98.0;R;1;14.468869;-60.927417
2024/01/01 00:00:00;2024/12/31 23:59:59;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39015;Fort-de-France - Hôtel de ville;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;9.50370071477979;µg-m3;99.0;100.0;99.0;R;1;14.607444;-61.069778
2024/01/01 00:00:00;2024/12/31 23:59:59;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39016;Robert Bourg;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.677949455024597;µg-m3;98.0;97.0;95.0;R;1;14.678025;-60.939056
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GUYANE;FR03ZRE01;ZR GUYANE;FR40006;Kourou Gaston Monnerville Brady;Urbaine;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;10.0;10.45510743008043;µg-m3;;;;R;1;5.164248;-52.64649
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GUYANE;FR03ZAR01;ZAR ILE-DE-CAYENNE;FR40008;Caiena3;Urbaine;PM2.5;Fond;Oui;mesures indicatives;Moy. annuelle;11.0;11.419073850920991;µg-m3;;;;R;1;4.9378467;-52.32093
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GUYANE;FR03ZAR01;ZAR ILE-DE-CAYENNE;FR40009;Cayenne-Bouchon;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;12.0;11.589117680892725;µg/m3;99.0;100.0;99.0;R;1;4.920833;-52.321944
2024/01/01 00:00:00;2024/12/31 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.125374181478033;µg-m3;98.0;99.0;97.0;R;1;41.924694;8.735694
2024/01/01 00:00:00;2024/12/31 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.405207114439496;µg-m3;99.0;99.0;97.0;R;1;42.697917;9.446417
2024/01/01 00:00:00;2024/12/31 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;8.172314263525793;µg-m3;90.0;98.0;88.0;R;1;42.671333;9.434639
2024/01/01 00:00:00;2024/12/31 23:59:59;QUALITAIR CORSE;FR94ZRE01;ZR CORSE;FR41024;VENACO;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;4.0;3.7107104088770915;µg-m3;95.0;99.0;94.0;R;1;42.236028;9.190028
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZAG01;ZAG STRASBOURG;FR42010;Strasbourg Neudorf Ecoquartier Danube;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.385003991333132;µg-m3;100.0;100.0;100.0;R;1;48.572808;7.767833
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR42011;Haguenau-Place marché aux bestiaux;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.793483275663204;µg/m3;99.0;100.0;99.0;R;1;48.818352;7.786409
2024/01/01 00:00:00;2024/12/31 23:59:59;HAWA MAYOTTE;FR06ZRE01;ZR MAYOTTE;FR43002;Convalescence;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;8.568483063328433;µg-m3;97.0;95.0;93.0;R;1;-12.778186;45.220235
2024/01/01 00:00:00;2024/12/31 23:59:59;HAWA MAYOTTE;FR06ZRE01;ZR MAYOTTE;FR43099;Kawéni Nord;Périurbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;15.0;15.142536327608983;µg-m3;65.0;66.0;43.0;N;-1;-12.761174;45.226197
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR50060;Montauban;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;8.262729868646478;µg/m3;100.0;100.0;100.0;R;1;44.01285657;1.37530522
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR50225;Montpellier Liberté;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;13.0;13.481317406934936;µg/m3;98.0;100.0;98.0;R;1;43.611606;3.827868
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR03;ZAR BESANCON;FR82006;Besançon Prévoyance;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;6.0;5.889609616757929;µg-m3;96.0;100.0;96.0;R;1;47.2474;6.015419
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR01;ZAR BELFORT-MONTBELIARD;FR82010;Montbéliard centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.002830404017388;µg-m3;100.0;100.0;100.0;R;1;47.510307;6.794
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR01;ZAR BELFORT-MONTBELIARD;FR82021;Belfort centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.071720484359235;µg-m3;94.0;48.0;45.0;N;-1;47.630755;6.858944
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82040;Dole centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.764898845582348;µg-m3;100.0;100.0;100.0;R;1;47.09672;5.496389
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82050;Lons-le-Saunier CV;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;5.0;5.268454810495622;µg-m3;98.0;100.0;98.0;R;1;46.671321;5.55662
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82060;Vesoul Pres Caillet;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;7.0;6.986649640120721;µg-m3;98.0;100.0;98.0;R;1;47.620022;6.157642
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82070;Baume-les-Dames;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;7.0;7.223214497216612;µg-m3;96.0;100.0;96.0;R;1;47.351288;6.359722
