Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21101;Caen Montalivet;Urbaine;C6H6;Trafic;Oui;mesures indicatives;Moy. annuelle;1.0;0.6061055548535015;microg/m3;;;;A;1;49.1798333190825;-0.329750000088734
2024/01/01 00:00:00;2024/12/31 23:59:59;AIR PAYS DE LA LOIRE;FR52ZAG01;ZAG NANTES-SAINT-NAZAIRE;FR23251;FRERES GONCOURT;Urbaine;C6H6;Trafic;Oui;mesures fixes;Moy. annuelle;1.0;0.6116181061394389;µg-m3;89.0;98.0;88.0;R;1;47.204122;-1.564811
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;C6H6;Fond;Oui;mesures indicatives;Moy. annuelle;1.0;0.6851838361151983;microg/m3;;;;A;1;49.442358;1.093789
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25053;Rouen Proxi Quai de Paris;Urbaine;C6H6;Trafic;Oui;mesures indicatives;Moy. annuelle;1.0;0.7909089842727854;microg/m3;;;;R;1;49.436699;1.098838
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR04;ZAR ARRAS;FR28022;St-Laurent-Blangy;Périurbaine;C6H6;Fond;Oui;estimation objective;Moy. annuelle;1.0;0.993434672568729;microg/m3;100.0;19.0;19.0;A;1;50.30886;2.807369
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31045;Bordeaux_GAUTIER;Urbaine;C6H6;Trafic;Oui;mesures indicatives;Moy. annuelle;1.0;1.3809638136406523;microg/m3;;;;A;1;44.833825;-0.598525
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR04;ZAR CHALON;FR32001;Chalon Centre Ville;Urbaine;C6H6;Trafic;Oui;mesures indicatives;Moy. annuelle;1.0;1.1276955424016482;microg/m3;;;;R;1;46.782311;4.847322
2024/01/01 00:00:00;2024/12/31 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34067;St Jean de la Ruelle;Urbaine;C6H6;Fond;Oui;mesures indicatives;Moy. annuelle;1.0;0.5380355955484948;microg/m3;;;;A;1;47.910303;1.873431
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR35005;GUERET - Nicolas;Urbaine;C6H6;Fond;Oui;mesures indicatives;Moy. annuelle;1.0;0.5710975912590016;microg/m3;;;;A;1;46.17362;1.873024
2024/01/01 00:00:00;2024/12/31 23:59:59;GWAD'AIR;FR01ZAG01;ZAG POINTE-A-PITRE;FR37006;PTP-VICTOIRE;Urbaine;C6H6;Fond;Oui;mesures indicatives;Moy. annuelle;1.0;0.6000136902045595;microg/m3;;;;N;-1;16.23674;-61.534101
2024/01/01 00:00:00;2024/12/31 23:59:59;GWAD'AIR;FR01ZRE01;ZR GUADELOUPE;FR37010;BT_PICHON;Urbaine;C6H6;Fond;Oui;estimation objective;Moy. annuelle;1.0;0.5797549080286188;microg/m3;100.0;8.0;8.0;N;-1;15.994349;-61.727203
2024/01/01 00:00:00;2024/12/31 23:59:59;GWAD'AIR;FR01ZAG01;ZAG POINTE-A-PITRE;FR37040;ABYMES RN1;Périurbaine;C6H6;Trafic;Oui;mesures indicatives;Moy. annuelle;1.0;0.8549791707994445;microg/m3;;;;N;-1;16.254085;-61.53713
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO REUNION;FR04ZAR02;ZAR VOLCAN;FR38023;BD BANKS;Urbaine;C6H6;Trafic;Oui;mesures indicatives;Moy. annuelle;1.0;1.0671176470588235;microg/m3;;;;R;1;-21.331703;55.478949
2024/01/01 00:00:00;2024/12/31 23:59:59;MADININAIR;FR02ZAR01;ZAR FORT-DE-FRANCE;FR39011;Reneville;Urbaine;C6H6;Trafic;Oui;mesures fixes;Moy. annuelle;1.0;1.2;microg/m3;100.0;36.0;36.0;A;1;14.614111;-61.0530833
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GUYANE;FR03ZRE01;ZR GUYANE;FR40006;Kourou Gaston Monnerville Brady;Urbaine;C6H6;Fond;Oui;estimation objective;Moy. annuelle;1.0;0.5432792368273636;microg/m3;100.0;12.0;12.0;N;-1;5.164248;-52.64649
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GUYANE;FR03ZAR01;ZAR ILE-DE-CAYENNE;FR40007;Kalou;Périurbaine;C6H6;Fond;Oui;mesures indicatives;Moy. annuelle;1.0;0.5751323627555183;microg/m3;;;;N;-1;4.84816;-52.3238
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GUYANE;FR03ZAR01;ZAR ILE-DE-CAYENNE;FR40008;Caiena3;Urbaine;C6H6;Fond;Oui;mesures indicatives;Moy. annuelle;1.0;0.5991186863437954;microg/m3;;;;N;-1;4.9378467;-52.32093
2024/01/01 00:00:00;2024/12/31 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;C6H6;Trafic;Oui;mesures indicatives;Moy. annuelle;2.0;1.59596399398242;microg/m3;;;;A;1;41.92575;8.738278
2024/01/01 00:00:00;2024/12/31 23:59:59;HAWA MAYOTTE;FR06ZRE01;ZR MAYOTTE;FR43001;Kawéni Village;Urbaine;C6H6;Trafic;Oui;mesures fixes;Moy. annuelle;2.0;1.713;microg/m3;100.0;19.0;19.0;N;-1;-12.772944;45.223206
